Datum,Zeit,Adr,ID-Nr.,HST,Nr.,Wert,Einheit,Beschreibung,Art,Modul,SP-Nr.,Tarif
01.02.10,00:00,4,5,GWF,7,1115,hours,on time,instant.,0,0,0
01.02.10,00:00,4,5,GWF,8,1115,hours,operating time,instant.,0,0,0
01.02.10,00:00,4,5,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.02.10,00:00,4,5,GWF,10,0,kW,power,instant.,0,0,0
01.02.10,00:00,4,5,GWF,11,31.01.10 23:55 Win  V,,time point,instant.,0,0,0
01.02.10,00:00,4,5,GWF,12,814,HCA,HCA-Unit,instant.,1,0,0
01.02.10,00:00,4,5,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.02.10,00:00,4,5,GWF,14,0,kWh,energy,instant.,0,1,0
01.02.10,00:00,4,5,GWF,15,0,m^3,volume,instant.,0,1,0
01.02.10,00:00,4,5,GWF,16,0,m^3,volume,instant.,1,1,0
01.02.10,00:00,4,5,GWF,17,0,HCA,HCA-Unit,instant.,1,1,0
01.02.10,00:00,4,5,GWF,18,0,HCA,HCA-Unit,instant.,2,1,0
01.02.10,00:00,4,5,GWF,19,00.00.00,,time point,instant.,0,1,0
01.02.10,00:00,4,5,GWF,20,$00,,M-Bus state,,,,
01.02.10,00:00,3,9,GWF,1,3103,kWh,energy,instant.,0,0,0
01.02.10,00:00,3,9,GWF,2,233.61,m^3,volume,instant.,0,0,0
01.02.10,00:00,3,9,GWF,3,233.18,m^3,volume,instant.,1,0,0
01.02.10,00:00,3,9,GWF,4,34,°C,flow temperature,instant.,0,0,0
01.02.10,00:00,3,9,GWF,5,30,°C,return temperature,instant.,0,0,0
01.02.10,00:00,3,9,GWF,6,3.3,K,temperature difference,instant.,0,0,0
01.02.10,00:00,3,9,GWF,7,1116,hours,on time,instant.,0,0,0
01.02.10,00:00,3,9,GWF,8,1116,hours,operating time,instant.,0,0,0
01.02.10,00:00,3,9,GWF,9,0,l/h,volume flow,instant.,0,0,0
01.02.10,00:00,3,9,GWF,10,0,kW,power,instant.,0,0,0
01.02.10,00:00,3,9,GWF,11,31.01.10 23:55 Win  V,,time point,instant.,0,0,0
01.02.10,00:00,3,9,GWF,12,132,HCA,HCA-Unit,instant.,1,0,0
01.02.10,00:00,3,9,GWF,13,0,HCA,HCA-Unit,instant.,2,0,0
01.02.10,00:00,3,9,GWF,14,0,kWh,energy,instant.,0,1,0
01.02.10,00:00,3,9,GWF,15,0,m^3,volume,instant.,0,1,0
01.02.10,00:00,3,9,GWF,16,0,m^3,volume,instant.,1,1,0
