time;centralHeatMeter
2018-06-27;49721.00236
2018-06-28;49721.00236
2018-06-29;49721.00236
2018-06-30;49721.00236
2018-07-01;49721.00236
2018-07-02;49721.375
2018-07-03;49722.00236
2018-07-04;49722.00236
2018-07-05;49722.00236
2018-07-06;49722.00236
2018-07-07;49722.00236
2018-07-08;49722.00236
2018-07-09;49722.00236
2018-07-10;49722.00236
2018-07-11;49722.00236
2018-07-12;49722.00236
2018-07-13;49722.00236
2018-07-14;49722.00236
2018-07-15;49722.18351
2018-07-16;49723.00236
2018-07-17;49723.00236
2018-07-18;49723.00236
2018-07-19;49723.00236
2018-07-20;49723.00236
2018-07-21;49723.00236
2018-07-22;49723.00236
2018-07-23;49723.00236
2018-07-24;49723.00236
2018-07-25;49723.00236
2018-07-26;49723.00236
2018-07-27;49723.00236
2018-07-28;49723.00236
2018-07-29;49723.35646
2018-07-30;49724.00236
2018-07-31;49724.00236
2018-08-01;49724.00236
2018-08-02;49724.00236
2018-08-03;49724.00236
2018-08-04;49724.00236
2018-08-05;49724.00236
2018-08-06;49724.00236
2018-08-07;49724.00236
2018-08-08;49724.00236
2018-08-09;49724.00236
2018-08-10;49724.48936
2018-08-11;49725.00236
2018-08-12;49725.00236
2018-08-13;49725.00236
2018-08-14;49725.00236
2018-08-15;49725.00236
2018-08-16;49725.00236
2018-08-17;49725.00236
2018-08-18;49725.00236
2018-08-19;49725.00236
2018-08-20;49725.00236
2018-08-21;49725.00236
2018-08-22;49725.00236
2018-08-23;49725.00236
2018-08-24;49725.00236
2018-08-25;49725.00236
2018-08-26;49725.37667
2018-08-27;49726.00236
2018-08-28;49726.00236
2018-08-29;49726.00236
2018-08-30;49726.00236
2018-08-31;49726.00236
2018-09-01;49726.00236
2018-09-02;49727.45658
2018-09-03;49728.00236
2018-09-04;49728.02888
2018-09-05;49729.00236
2018-09-06;49729.00236
2018-09-07;49729.00236
2018-09-08;49729.00236
2018-09-09;49729.00236
2018-09-10;49729.00236
2018-09-11;49729.00236
2018-09-12;49729.00236
2018-09-13;49729.00236
2018-09-14;49729.00236
2018-09-15;49729.00236
2018-09-16;49729.00236
2018-09-17;49729.00236
2018-09-18;49729.00236
2018-09-19;49729.00236
2018-09-20;49729.00236
2018-09-21;49729.00236
2018-09-22;49729.51217
2018-09-23;49730.00236
2018-09-24;49730.07294
2018-09-25;49733.42874
2018-09-26;49765.06059
2018-09-27;49781.50832
2018-09-28;49783.00236
2018-09-29;49783.39098
2018-09-30;49784.99136
2018-10-01;49786.18649
2018-10-02;49807.6233
2018-10-03;49840.99756
2018-10-04;49860.20147
2018-10-05;49883.74966
2018-10-06;49892.00237
2018-10-07;49892.38488
2018-10-10;49894.80731
2018-10-11;49895.00237
2018-10-12;49896.45744
2018-10-13;49897.00237
2018-10-14;49897.00237
2018-10-15;49897.45149
2018-10-16;49898.00237
2018-10-17;49913.56366
2018-10-18;49928.02947
2018-10-19;49952.45034
2018-10-20;49993.92063
2018-10-21;50046.29822
2018-10-22;50133.31667
2018-10-23;50220.48912
2018-10-24;50263.18993
2018-10-25;50303.72456
2018-10-26;50350.08061
2018-10-27;50399.01501
2018-10-28;50529.25217
2018-10-29;50696.82229
2018-10-30;50821.34809
2018-10-31;50938.21593
2018-11-01;51051.93736
2018-11-02;51137.58021
2018-11-03;51196.69613
2018-11-04;51255.39002
2018-11-05;51323.98141
2018-11-06;51406.58051
2018-11-07;51479.14777
2018-11-08;51540.67799
2018-11-09;51591.71058
2018-11-10;51653.48162
2018-11-11;51724.94324
2018-11-12;51790.63021
2018-11-13;51853.9108
2018-11-14;51940.20882
2018-11-15;52049.65474
2018-11-16;52164.73983
2018-11-17;52290.3035
2018-11-18;52463.56474
2018-11-19;52635.76388
